ENDERECO_ID	lat	long
PIABA_0001	-5.8889	-42.634731
SCFNS_0068	-27.597729	-48.585088
PRCTA_0004	-25.500839	-49.304278
MAADCE0002	-3.069771	-42.237883
BAALC_0005	-17.526227	-39.193561
ACRBO_0093	-9.95313	-67.86002
ACRBO_0094	-9.97197	-67.81338
ACRBO_0095	-10.02908	-67.79986
SPAAS_0475	-22.336722	-47.377917
SPAAS_0698	-22.263278	-47.390528
SPARL_0020	-22.675171	-48.670625
SPAAI_0401	-22.02425	-46.883278
SPAAS_0010	-21.229639	-50.415444
SCFNS_0055	-27.49767	-48.41951
SCFNS_0066	-27.662925	-48.544876
SCAPK_0001	-27.032056	-49.38675
MSACL_0002	-20.4466	-52.87823
MSAEC_0009	-22.052139	-54.068556
CEACA_0010	-4.565306	-37.771389
CEACA_0014	-4.563894	-37.771361
ESAHE_0001	-20.802003	-40.601653
BAADK_0001	-10.342611	-39.830972
ACFJO_0007	-8.16733	-70.3561
ACPCY_0003	-10.064139	-67.298722
ACPCY_0005	-10.064722	-67.298278
ACRBO_0124	-10.0142	-67.79843
ACRBO_0097	-9.938306	-67.813528
PRADP_0001	-24.657083	-48.991389
PRFOZ_0001	-25.544722	-54.583333
GOGNA_0165	-16.696639	-49.254472
GOGNA_0159	-16.695861	-49.255028
GOGNA_0211	-16.671111	-49.246583
PAAIU_0002	-1.384972	-48.410111
RSAHS_0001	-28.176667	-52.031389
RSPAE_0314	-30.080972	-51.228611
MGAFN_0008	-21.429722	-45.946361
MGAFN_0004	-21.429167	-45.947222
CEFLA_0035	-3.806694	-38.42475
AMMNS_0001	-3.090694	-60.007583
RRBVA_0020	2.834194	-60.683944
RJRJO_9799	-22.826417	-43.336778
SCCCO_0092	-27.095028	-52.616083
CEFLA_0289	-3.724222	-38.548139
ACRBO_0073	-99.757001	-67.801836
SPAAS_0008	-22.952222	-47.384444
MSCPE_0061	-20.427	-54.578083
MSCPE_0237	-20.444722	-54.604444
BAPGU_0029	-16.424397	-39.074881
CEAIB_0002	-6.722944	-40.171389
CEAEZ_0002	-6.236194	-40.265611
ESAFH_0005	-20.464611	-40.916333
ESACZ_0033	-19.879111	-40.086194
CEFLA_0196	-3.734861	-38.535139
GOACG_0027	-16.749833	-49.306944
GOACG_0020	-16.748972	-49.306167
GOACG_0016	-16.749503	-49.306467
MABLA_0019	-8.440711	-46.625531
MAITZ_0016	-5.501111	-47.493611
BAFSA_0002	-12.229667	-38.9635
BAITB_0002	-14.78275	-39.260528
ACRBO_0057	-9.960778	-67.852194
ACRBO_0024	-9.970917	-67.818778
ALAIR_0022	-9.755583	-36.662778
ALAIR_0032	-9.755583	-36.662806
PRAEE_0001	-25.918222	-53.473528
PRCTA_0266	-25.450333	-49.305083
PRCTA_0560	-25.45025	-49.304917
PIACAH0002	-8.430583	-41.099417
SPBRU_0036	-22.33675	-49.043583
SPSNE_0020	-23.661306	-46.506833
SPSPO12933	-23.893056	-47.006944
SPSPO_0851	-23.540167	-46.470553
SPSPO12798	-23.650556	-46.711722
SPCAS_0055	-22.899139	-47.060083
BASDR_0936	-12.98	-38.451667
MGBHE_0026	-19.948944	-43.961
